datetime,births,year,month,day,day_of_week
10-07-1974,9423,1974,7,10,2
11-07-1974,9218,1974,7,11,3
12-07-1974,9283,1974,7,12,4
13-07-1974,8228,1974,7,13,5
14-07-1974,7605,1974,7,14,6
15-07-1974,9267,1974,7,15,0
16-07-1974,9697,1974,7,16,1
17-07-1974,9419,1974,7,17,2
18-07-1974,9122,1974,7,18,3
19-07-1974,9523,1974,7,19,4
20-07-1974,8471,1974,7,20,5
21-07-1974,7433,1974,7,21,6
22-07-1974,9314,1974,7,22,0
23-07-1974,10110,1974,7,23,1
24-07-1974,9327,1974,7,24,2
25-07-1974,9263,1974,7,25,3
26-07-1974,9574,1974,7,26,4
27-07-1974,8492,1974,7,27,5
28-07-1974,7872,1974,7,28,6
29-07-1974,9454,1974,7,29,0
30-07-1974,9821,1974,7,30,1
31-07-1974,9591,1974,7,31,2
01-08-1974,9707,1974,8,1,3
02-08-1974,9636,1974,8,2,4
03-08-1974,8470,1974,8,3,5
04-08-1974,7813,1974,8,4,6
05-08-1974,9124,1974,8,5,0
06-08-1974,9967,1974,8,6,1
07-08-1974,9616,1974,8,7,2
08-08-1974,9550,1974,8,8,3
09-08-1974,9696,1974,8,9,4
10-08-1974,8431,1974,8,10,5
11-08-1974,7724,1974,8,11,6
12-08-1974,9643,1974,8,12,0
13-08-1974,10213,1974,8,13,1
14-08-1974,9586,1974,8,14,2
15-08-1974,9825,1974,8,15,3
16-08-1974,9835,1974,8,16,4
17-08-1974,8556,1974,8,17,5
18-08-1974,8073,1974,8,18,6
19-08-1974,9582,1974,8,19,0
20-08-1974,10153,1974,8,20,1
21-08-1974,9711,1974,8,21,2
22-08-1974,9335,1974,8,22,3
23-08-1974,9795,1974,8,23,4
24-08-1974,8486,1974,8,24,5
25-08-1974,7854,1974,8,25,6
26-08-1974,9556,1974,8,26,0
27-08-1974,10075,1974,8,27,1
28-08-1974,9599,1974,8,28,2
29-08-1974,9544,1974,8,29,3
30-08-1974,9780,1974,8,30,4
31-08-1974,8537,1974,8,31,5
01-09-1974,7909,1974,9,1,6
02-09-1974,7969,1974,9,2,0
03-09-1974,9471,1974,9,3,1
04-09-1974,9980,1974,9,4,2
05-09-1974,9581,1974,9,5,3
06-09-1974,9727,1974,9,6,4
07-09-1974,8550,1974,9,7,5
08-09-1974,7889,1974,9,8,6
09-09-1974,9796,1974,9,9,0
10-09-1974,10074,1974,9,10,1
11-09-1974,9797,1974,9,11,2
12-09-1974,9832,1974,9,12,3
13-09-1974,9868,1974,9,13,4
14-09-1974,8869,1974,9,14,5
15-09-1974,8266,1974,9,15,6
16-09-1974,10050,1974,9,16,0
17-09-1974,10275,1974,9,17,1
18-09-1974,10033,1974,9,18,2
19-09-1974,9982,1974,9,19,3
20-09-1974,10324,1974,9,20,4
21-09-1974,9004,1974,9,21,5
22-09-1974,8622,1974,9,22,6
23-09-1974,10137,1974,9,23,0
24-09-1974,10375,1974,9,24,1
25-09-1974,10043,1974,9,25,2
26-09-1974,10129,1974,9,26,3
27-09-1974,10288,1974,9,27,4
28-09-1974,9243,1974,9,28,5
29-09-1974,8585,1974,9,29,6
30-09-1974,9975,1974,9,30,0
01-10-1974,10264,1974,10,1,1
02-10-1974,9895,1974,10,2,2
03-10-1974,9767,1974,10,3,3
04-10-1974,9842,1974,10,4,4
05-10-1974,8693,1974,10,5,5
06-10-1974,8092,1974,10,6,6
07-10-1974,9756,1974,10,7,0
08-10-1974,9808,1974,10,8,1
09-10-1974,9505,1974,10,9,2
10-10-1974,9695,1974,10,10,3
11-10-1974,9717,1974,10,11,4
12-10-1974,8335,1974,10,12,5
13-10-1974,7767,1974,10,13,6
14-10-1974,9205,1974,10,14,0
15-10-1974,9572,1974,10,15,1
16-10-1974,9211,1974,10,16,2
17-10-1974,9311,1974,10,17,3
18-10-1974,9453,1974,10,18,4
19-10-1974,8186,1974,10,19,5
20-10-1974,7472,1974,10,20,6
21-10-1974,9013,1974,10,21,0
22-10-1974,9327,1974,10,22,1
23-10-1974,8965,1974,10,23,2
24-10-1974,8792,1974,10,24,3
25-10-1974,9199,1974,10,25,4
26-10-1974,8274,1974,10,26,5
27-10-1974,7880,1974,10,27,6
28-10-1974,8874,1974,10,28,0
29-10-1974,9355,1974,10,29,1
30-10-1974,9127,1974,10,30,2
31-10-1974,8913,1974,10,31,3
01-11-1974,9198,1974,11,1,4
02-11-1974,8055,1974,11,2,5
03-11-1974,7567,1974,11,3,6
04-11-1974,8974,1974,11,4,0
05-11-1974,9500,1974,11,5,1
06-11-1974,9051,1974,11,6,2
07-11-1974,8819,1974,11,7,3
08-11-1974,8975,1974,11,8,4
09-11-1974,7806,1974,11,9,5
10-11-1974,7519,1974,11,10,6
11-11-1974,9223,1974,11,11,0
12-11-1974,9274,1974,11,12,1
13-11-1974,8913,1974,11,13,2
14-11-1974,9061,1974,11,14,3
15-11-1974,9241,1974,11,15,4
16-11-1974,7804,1974,11,16,5
17-11-1974,7471,1974,11,17,6
18-11-1974,9217,1974,11,18,0
19-11-1974,9427,1974,11,19,1
20-11-1974,9234,1974,11,20,2
21-11-1974,9035,1974,11,21,3
22-11-1974,9076,1974,11,22,4
23-11-1974,8103,1974,11,23,5
24-11-1974,7545,1974,11,24,6
25-11-1974,8838,1974,11,25,0
26-11-1974,9488,1974,11,26,1
27-11-1974,9047,1974,11,27,2
28-11-1974,7294,1974,11,28,3
29-11-1974,8424,1974,11,29,4
30-11-1974,7727,1974,11,30,5
01-12-1974,7569,1974,12,1,6
02-12-1974,9259,1974,12,2,0
03-12-1974,9539,1974,12,3,1
04-12-1974,9072,1974,12,4,2
05-12-1974,8935,1974,12,5,3
06-12-1974,9043,1974,12,6,4
07-12-1974,7969,1974,12,7,5
08-12-1974,7668,1974,12,8,6
09-12-1974,8970,1974,12,9,0
10-12-1974,9212,1974,12,10,1
11-12-1974,9043,1974,12,11,2
12-12-1974,9045,1974,12,12,3
13-12-1974,8751,1974,12,13,4
14-12-1974,7845,1974,12,14,5
15-12-1974,7505,1974,12,15,6
16-12-1974,9188,1974,12,16,0
17-12-1974,9640,1974,12,17,1
18-12-1974,9403,1974,12,18,2
19-12-1974,9344,1974,12,19,3
20-12-1974,9453,1974,12,20,4
21-12-1974,7840,1974,12,21,5
22-12-1974,7077,1974,12,22,6
23-12-1974,8086,1974,12,23,0
24-12-1974,7538,1974,12,24,1
25-12-1974,6820,1974,12,25,2
26-12-1974,8463,1974,12,26,3
27-12-1974,9603,1974,12,27,4
28-12-1974,8224,1974,12,28,5
29-12-1974,7383,1974,12,29,6
30-12-1974,9641,1974,12,30,0
31-12-1974,9637,1974,12,31,1
01-01-1975,7028,1975,1,1,2
02-01-1975,7873,1975,1,2,3
03-01-1975,8425,1975,1,3,4
04-01-1975,7670,1975,1,4,5
05-01-1975,7250,1975,1,5,6
06-01-1975,8426,1975,1,6,0
07-01-1975,8792,1975,1,7,1
08-01-1975,8416,1975,1,8,2
09-01-1975,8461,1975,1,9,3
10-01-1975,8852,1975,1,10,4
11-01-1975,7928,1975,1,11,5
12-01-1975,7240,1975,1,12,6
13-01-1975,8619,1975,1,13,0
14-01-1975,9188,1975,1,14,1
15-01-1975,8893,1975,1,15,2
16-01-1975,8636,1975,1,16,3
17-01-1975,9012,1975,1,17,4
18-01-1975,7876,1975,1,18,5
19-01-1975,7448,1975,1,19,6
20-01-1975,8902,1975,1,20,0
21-01-1975,9102,1975,1,21,1
22-01-1975,8558,1975,1,22,2
23-01-1975,8747,1975,1,23,3
24-01-1975,8771,1975,1,24,4
25-01-1975,8077,1975,1,25,5
26-01-1975,7708,1975,1,26,6
27-01-1975,8783,1975,1,27,0
28-01-1975,9149,1975,1,28,1
29-01-1975,8900,1975,1,29,2
30-01-1975,8617,1975,1,30,3
31-01-1975,8677,1975,1,31,4
01-02-1975,7699,1975,2,1,5
02-02-1975,7316,1975,2,2,6
03-02-1975,8881,1975,2,3,0
04-02-1975,9093,1975,2,4,1
05-02-1975,8829,1975,2,5,2
06-02-1975,8425,1975,2,6,3
07-02-1975,8969,1975,2,7,4
08-02-1975,7852,1975,2,8,5
09-02-1975,7564,1975,2,9,6
10-02-1975,8733,1975,2,10,0
11-02-1975,9126,1975,2,11,1
12-02-1975,8948,1975,2,12,2
13-02-1975,8762,1975,2,13,3
14-02-1975,9219,1975,2,14,4
15-02-1975,7997,1975,2,15,5
16-02-1975,7545,1975,2,16,6
17-02-1975,8373,1975,2,17,0
18-02-1975,9232,1975,2,18,1
19-02-1975,8796,1975,2,19,2
20-02-1975,8984,1975,2,20,3
21-02-1975,8919,1975,2,21,4
22-02-1975,7917,1975,2,22,5
23-02-1975,7277,1975,2,23,6
24-02-1975,8854,1975,2,24,0
25-02-1975,9150,1975,2,25,1
26-02-1975,8820,1975,2,26,2
27-02-1975,8541,1975,2,27,3
28-02-1975,8974,1975,2,28,4
01-03-1975,7921,1975,3,1,5
02-03-1975,7387,1975,3,2,6
03-03-1975,8963,1975,3,3,0
04-03-1975,9037,1975,3,4,1
05-03-1975,8854,1975,3,5,2
06-03-1975,8840,1975,3,6,3
07-03-1975,9055,1975,3,7,4
08-03-1975,7804,1975,3,8,5
09-03-1975,7146,1975,3,9,6
10-03-1975,8568,1975,3,10,0
11-03-1975,9239,1975,3,11,1
12-03-1975,8933,1975,3,12,2
13-03-1975,8610,1975,3,13,3
14-03-1975,9098,1975,3,14,4
15-03-1975,7591,1975,3,15,5
16-03-1975,7235,1975,3,16,6
17-03-1975,9000,1975,3,17,0
18-03-1975,9090,1975,3,18,1
19-03-1975,8867,1975,3,19,2
20-03-1975,8926,1975,3,20,3
21-03-1975,9072,1975,3,21,4
22-03-1975,8038,1975,3,22,5
23-03-1975,7522,1975,3,23,6
24-03-1975,8784,1975,3,24,0
25-03-1975,9206,1975,3,25,1
26-03-1975,8912,1975,3,26,2
27-03-1975,8553,1975,3,27,3
28-03-1975,8799,1975,3,28,4
29-03-1975,7630,1975,3,29,5
30-03-1975,7171,1975,3,30,6
31-03-1975,8522,1975,3,31,0
01-04-1975,8871,1975,4,1,1
02-04-1975,8770,1975,4,2,2
03-04-1975,8901,1975,4,3,3
04-04-1975,8616,1975,4,4,4
05-04-1975,7581,1975,4,5,5
06-04-1975,7162,1975,4,6,6
07-04-1975,8501,1975,4,7,0
08-04-1975,9120,1975,4,8,1
09-04-1975,8823,1975,4,9,2
10-04-1975,8577,1975,4,10,3
11-04-1975,8931,1975,4,11,4
12-04-1975,7550,1975,4,12,5
13-04-1975,7002,1975,4,13,6
14-04-1975,8450,1975,4,14,0
15-04-1975,9114,1975,4,15,1
16-04-1975,8676,1975,4,16,2
17-04-1975,8536,1975,4,17,3
18-04-1975,9131,1975,4,18,4
19-04-1975,7614,1975,4,19,5
20-04-1975,7029,1975,4,20,6
21-04-1975,8448,1975,4,21,0
22-04-1975,8944,1975,4,22,1
23-04-1975,8511,1975,4,23,2
24-04-1975,8526,1975,4,24,3
25-04-1975,8855,1975,4,25,4
26-04-1975,7637,1975,4,26,5
27-04-1975,7162,1975,4,27,6
28-04-1975,8749,1975,4,28,0
29-04-1975,9251,1975,4,29,1
30-04-1975,8661,1975,4,30,2
01-05-1975,8654,1975,5,1,3
02-05-1975,8671,1975,5,2,4
03-05-1975,7579,1975,5,3,5
04-05-1975,7196,1975,5,4,6
05-05-1975,8517,1975,5,5,0
06-05-1975,8961,1975,5,6,1
07-05-1975,8467,1975,5,7,2
08-05-1975,8551,1975,5,8,3
09-05-1975,8861,1975,5,9,4
10-05-1975,7468,1975,5,10,5
11-05-1975,7228,1975,5,11,6
12-05-1975,9038,1975,5,12,0
13-05-1975,9247,1975,5,13,1
14-05-1975,8905,1975,5,14,2
15-05-1975,8834,1975,5,15,3
16-05-1975,8918,1975,5,16,4
17-05-1975,8009,1975,5,17,5
18-05-1975,7269,1975,5,18,6
19-05-1975,8828,1975,5,19,0
20-05-1975,9554,1975,5,20,1
21-05-1975,9043,1975,5,21,2
22-05-1975,9120,1975,5,22,3
23-05-1975,9133,1975,5,23,4
24-05-1975,7806,1975,5,24,5
25-05-1975,7512,1975,5,25,6
26-05-1975,7532,1975,5,26,0
27-05-1975,8792,1975,5,27,1
28-05-1975,8912,1975,5,28,2
29-05-1975,8982,1975,5,29,3
30-05-1975,9000,1975,5,30,4
31-05-1975,7619,1975,5,31,5
01-06-1975,7244,1975,6,1,6
02-06-1975,8555,1975,6,2,0
03-06-1975,8996,1975,6,3,1
04-06-1975,8742,1975,6,4,2
05-06-1975,8783,1975,6,5,3
06-06-1975,9112,1975,6,6,4
07-06-1975,7642,1975,6,7,5
08-06-1975,7149,1975,6,8,6
09-06-1975,8623,1975,6,9,0
10-06-1975,8997,1975,6,10,1
11-06-1975,8844,1975,6,11,2
12-06-1975,8954,1975,6,12,3
13-06-1975,8763,1975,6,13,4
14-06-1975,7991,1975,6,14,5
15-06-1975,7271,1975,6,15,6
16-06-1975,8681,1975,6,16,0
17-06-1975,9212,1975,6,17,1
18-06-1975,9050,1975,6,18,2
19-06-1975,9115,1975,6,19,3
20-06-1975,9039,1975,6,20,4
21-06-1975,7959,1975,6,21,5
22-06-1975,7413,1975,6,22,6
23-06-1975,9159,1975,6,23,0
24-06-1975,9400,1975,6,24,1
25-06-1975,9114,1975,6,25,2
26-06-1975,9024,1975,6,26,3
27-06-1975,8955,1975,6,27,4
28-06-1975,8129,1975,6,28,5
29-06-1975,7413,1975,6,29,6
30-06-1975,9051,1975,6,30,0
01-07-1975,9512,1975,7,1,1
02-07-1975,9340,1975,7,2,2
03-07-1975,9393,1975,7,3,3
04-07-1975,7917,1975,7,4,4
05-07-1975,7988,1975,7,5,5
06-07-1975,7714,1975,7,6,6
07-07-1975,9474,1975,7,7,0
08-07-1975,10078,1975,7,8,1
09-07-1975,9417,1975,7,9,2
10-07-1975,9224,1975,7,10,3
11-07-1975,9451,1975,7,11,4
12-07-1975,7853,1975,7,12,5
13-07-1975,7399,1975,7,13,6
14-07-1975,9295,1975,7,14,0
15-07-1975,9624,1975,7,15,1
16-07-1975,9370,1975,7,16,2
17-07-1975,9486,1975,7,17,3
18-07-1975,9468,1975,7,18,4
19-07-1975,8370,1975,7,19,5
20-07-1975,7815,1975,7,20,6
21-07-1975,9519,1975,7,21,0
22-07-1975,9965,1975,7,22,1
23-07-1975,9751,1975,7,23,2
24-07-1975,9498,1975,7,24,3
25-07-1975,9495,1975,7,25,4
26-07-1975,8132,1975,7,26,5
27-07-1975,7952,1975,7,27,6
28-07-1975,9373,1975,7,28,0
29-07-1975,9872,1975,7,29,1
30-07-1975,9389,1975,7,30,2
31-07-1975,9460,1975,7,31,3
01-08-1975,9708,1975,8,1,4
02-08-1975,8578,1975,8,2,5
03-08-1975,8075,1975,8,3,6
04-08-1975,9590,1975,8,4,0
05-08-1975,9617,1975,8,5,1
06-08-1975,9653,1975,8,6,2
07-08-1975,9266,1975,8,7,3
08-08-1975,9253,1975,8,8,4
09-08-1975,8016,1975,8,9,5
10-08-1975,7686,1975,8,10,6
11-08-1975,9395,1975,8,11,0
12-08-1975,9824,1975,8,12,1
13-08-1975,9493,1975,8,13,2
14-08-1975,9568,1975,8,14,3
15-08-1975,9643,1975,8,15,4
16-08-1975,8505,1975,8,16,5
17-08-1975,8045,1975,8,17,6
18-08-1975,9115,1975,8,18,0
19-08-1975,9524,1975,8,19,1
20-08-1975,9480,1975,8,20,2
21-08-1975,9278,1975,8,21,3
22-08-1975,9443,1975,8,22,4
23-08-1975,8365,1975,8,23,5
24-08-1975,7982,1975,8,24,6
25-08-1975,9414,1975,8,25,0
26-08-1975,9907,1975,8,26,1
27-08-1975,9457,1975,8,27,2
28-08-1975,9371,1975,8,28,3
29-08-1975,9587,1975,8,29,4
30-08-1975,8281,1975,8,30,5
31-08-1975,7660,1975,8,31,6
01-09-1975,7804,1975,9,1,0
02-09-1975,9425,1975,9,2,1
03-09-1975,9529,1975,9,3,2
04-09-1975,9313,1975,9,4,3
05-09-1975,9525,1975,9,5,4
06-09-1975,8466,1975,9,6,5
07-09-1975,7982,1975,9,7,6
08-09-1975,9253,1975,9,8,0
09-09-1975,9662,1975,9,9,1
10-09-1975,9265,1975,9,10,2
11-09-1975,9342,1975,9,11,3
12-09-1975,10013,1975,9,12,4
13-09-1975,8310,1975,9,13,5
14-09-1975,7745,1975,9,14,6
15-09-1975,9382,1975,9,15,0
16-09-1975,9813,1975,9,16,1
17-09-1975,9591,1975,9,17,2
18-09-1975,9743,1975,9,18,3
19-09-1975,9910,1975,9,19,4
20-09-1975,8541,1975,9,20,5
21-09-1975,8217,1975,9,21,6
22-09-1975,9570,1975,9,22,0
23-09-1975,9933,1975,9,23,1
24-09-1975,9579,1975,9,24,2
25-09-1975,9430,1975,9,25,3
26-09-1975,9579,1975,9,26,4
27-09-1975,8632,1975,9,27,5
28-09-1975,7971,1975,9,28,6
29-09-1975,9396,1975,9,29,0
30-09-1975,9665,1975,9,30,1
01-10-1975,9732,1975,10,1,2
02-10-1975,9435,1975,10,2,3
03-10-1975,9286,1975,10,3,4
04-10-1975,8310,1975,10,4,5
05-10-1975,7965,1975,10,5,6
06-10-1975,9181,1975,10,6,0
07-10-1975,9464,1975,10,7,1
08-10-1975,9252,1975,10,8,2
09-10-1975,9229,1975,10,9,3
10-10-1975,9212,1975,10,10,4
11-10-1975,7985,1975,10,11,5
12-10-1975,7601,1975,10,12,6
13-10-1975,8897,1975,10,13,0
14-10-1975,9209,1975,10,14,1
15-10-1975,9234,1975,10,15,2
16-10-1975,8725,1975,10,16,3
17-10-1975,8983,1975,10,17,4
18-10-1975,7719,1975,10,18,5
19-10-1975,7334,1975,10,19,6
20-10-1975,8604,1975,10,20,0
21-10-1975,8919,1975,10,21,1
22-10-1975,8572,1975,10,22,2
23-10-1975,8633,1975,10,23,3
24-10-1975,8886,1975,10,24,4
25-10-1975,7697,1975,10,25,5
26-10-1975,7442,1975,10,26,6
27-10-1975,8597,1975,10,27,0
28-10-1975,8761,1975,10,28,1
29-10-1975,8713,1975,10,29,2
30-10-1975,8527,1975,10,30,3
31-10-1975,8548,1975,10,31,4
01-11-1975,7716,1975,11,1,5
02-11-1975,7222,1975,11,2,6
03-11-1975,8811,1975,11,3,0
04-11-1975,9002,1975,11,4,1
05-11-1975,8614,1975,11,5,2
06-11-1975,8813,1975,11,6,3
07-11-1975,8913,1975,11,7,4
08-11-1975,7924,1975,11,8,5
09-11-1975,7522,1975,11,9,6
10-11-1975,8932,1975,11,10,0
11-11-1975,8926,1975,11,11,1
12-11-1975,8518,1975,11,12,2
13-11-1975,8822,1975,11,13,3
14-11-1975,8996,1975,11,14,4
15-11-1975,7596,1975,11,15,5
16-11-1975,7302,1975,11,16,6
17-11-1975,8560,1975,11,17,0
18-11-1975,8796,1975,11,18,1
19-11-1975,8935,1975,11,19,2
20-11-1975,8535,1975,11,20,3
21-11-1975,9049,1975,11,21,4
22-11-1975,7763,1975,11,22,5
23-11-1975,7392,1975,11,23,6
24-11-1975,8873,1975,11,24,0
25-11-1975,9475,1975,11,25,1
26-11-1975,8910,1975,11,26,2
27-11-1975,7356,1975,11,27,3
28-11-1975,8394,1975,11,28,4
29-11-1975,7566,1975,11,29,5
30-11-1975,7497,1975,11,30,6
01-12-1975,8834,1975,12,1,0
02-12-1975,9102,1975,12,2,1
03-12-1975,8813,1975,12,3,2
04-12-1975,8671,1975,12,4,3
05-12-1975,8856,1975,12,5,4
06-12-1975,7733,1975,12,6,5
07-12-1975,7428,1975,12,7,6
08-12-1975,8911,1975,12,8,0
09-12-1975,9024,1975,12,9,1
10-12-1975,8958,1975,12,10,2
11-12-1975,8778,1975,12,11,3
12-12-1975,9024,1975,12,12,4
13-12-1975,7865,1975,12,13,5
14-12-1975,7528,1975,12,14,6
15-12-1975,9070,1975,12,15,0
16-12-1975,9556,1975,12,16,1
17-12-1975,9212,1975,12,17,2
18-12-1975,9368,1975,12,18,3
19-12-1975,9328,1975,12,19,4
20-12-1975,7912,1975,12,20,5
21-12-1975,7348,1975,12,21,6
22-12-1975,8585,1975,12,22,0
23-12-1975,8767,1975,12,23,1
24-12-1975,7737,1975,12,24,2
25-12-1975,7145,1975,12,25,3
26-12-1975,8598,1975,12,26,4
27-12-1975,7950,1975,12,27,5
28-12-1975,7328,1975,12,28,6
29-12-1975,9397,1975,12,29,0
30-12-1975,10144,1975,12,30,1
31-12-1975,9578,1975,12,31,2
01-01-1976,7302,1976,1,1,3
02-01-1976,7994,1976,1,2,4
03-01-1976,7458,1976,1,3,5
04-01-1976,7251,1976,1,4,6
